t;vs;xq;vq
 0.000; 0.000; 0.000000; 0.00000000000000E+000
 0.001; 0.000; 0.000000; 0.00000000000000E+000
 0.002; 0.000; 0.000000; 0.00000000000000E+000
 0.003; 0.000; 0.000000; 1.09000000000000E-010
 0.004; 0.000; 0.000000; 4.35989100000000E-010
 0.005; 0.000; 0.000001; 1.08994528723200E-009
 0.006; 0.000; 0.000001; 2.17983522343466E-009
 0.007; 0.000; 0.000001; 3.81461403217105E-009
 0.008; 0.000; 0.000002; 6.10322508618986E-009
 0.009; 0.001; 0.000002; 9.15459979483053E-009
 0.010; 0.001; 0.000002; 1.30776573914727E-008
 0.011; 0.001; 0.000003; 1.79813047210305E-008
 0.012; 0.001; 0.000004; 2.39744360274914E-008
 0.013; 0.001; 0.000004; 3.11659327415019E-008
 0.014; 0.001; 0.000005; 3.96646632679975E-008
 0.015; 0.001; 0.000006; 4.95794827738804E-008
 0.016; 0.001; 0.000007; 6.10192329757433E-008
 0.017; 0.001; 0.000008; 7.40927419276409E-008
 0.018; 0.001; 0.000008; 8.89088238089082E-008
 0.019; 0.001; 0.000009; 1.05576278712028E-007
 0.020; 0.001; 0.000011; 1.24203892430545E-007
 0.021; 0.001; 0.000012; 1.44900436247031E-007
 0.022; 0.001; 0.000013; 1.67774666721098E-007
 0.023; 0.001; 0.000014; 1.92935325477463E-007
 0.024; 0.001; 0.000015; 2.20491138994055E-007
 0.025; 0.001; 0.000017; 2.50550818390188E-007
 0.026; 0.001; 0.000018; 2.83223059214766E-007
 0.027; 0.002; 0.000019; 3.18616541234555E-007
 0.028; 0.002; 0.000021; 3.56839928222501E-007
 0.029; 0.002; 0.000023; 3.98001867746094E-007
 0.030; 0.002; 0.000024; 4.42210990955796E-007
 0.031; 0.002; 0.000026; 4.89575912373512E-007
 0.032; 0.002; 0.000028; 5.40205229681122E-007
 0.033; 0.002; 0.000029; 5.94207523509061E-007
 0.034; 0.002; 0.000031; 6.51691357224957E-007
 0.035; 0.002; 0.000033; 7.12765276722320E-007
 0.036; 0.002; 0.000035; 7.77537810209290E-007
 0.037; 0.002; 0.000037; 8.46117467997439E-007
 0.038; 0.002; 0.000039; 9.18612742290625E-007
 0.039; 0.002; 0.000041; 9.95132106973910E-007
 0.040; 0.002; 0.000043; 1.07578401740253E-006
 0.041; 0.002; 0.000046; 1.16067691019091E-006
 0.042; 0.002; 0.000048; 1.24991920300176E-006
 0.043; 0.002; 0.000050; 1.34361929433524E-006
 0.044; 0.002; 0.000053; 1.44188556331811E-006
 0.045; 0.003; 0.000055; 1.54482636949303E-006
 0.046; 0.003; 0.000057; 1.65255005260785E-006
 0.047; 0.003; 0.000060; 1.76516493240503E-006
 0.048; 0.003; 0.000063; 1.88277930841102E-006
 0.049; 0.003; 0.000065; 2.00550145972581E-006
 0.050; 0.003; 0.000068; 2.13343964481247E-006
 0.051; 0.003; 0.000071; 2.26670210128676E-006
 0.052; 0.003; 0.000074; 2.40539704570682E-006
 0.053; 0.003; 0.000077; 2.54963267336291E-006
 0.054; 0.003; 0.000079; 2.69951715806723E-006
 0.055; 0.003; 0.000082; 2.85515865194378E-006
 0.056; 0.003; 0.000086; 3.01666528521827E-006
 0.057; 0.003; 0.000089; 3.18414516600816E-006
 0.058; 0.003; 0.000092; 3.35770638011269E-006
 0.059; 0.003; 0.000095; 3.53745699080299E-006
 0.060; 0.003; 0.000098; 3.72350503861230E-006
 0.061; 0.003; 0.000102; 3.91595854112621E-006
 0.062; 0.003; 0.000105; 4.11492549277299E-006
 0.063; 0.004; 0.000108; 4.32051386461394E-006
 0.064; 0.004; 0.000112; 4.53283160413390E-006
 0.065; 0.004; 0.000115; 4.75198663503169E-006
 0.066; 0.004; 0.000119; 4.97808685701080E-006
 0.067; 0.004; 0.000123; 5.21124014556992E-006
 0.068; 0.004; 0.000126; 5.45155435179378E-006
 0.069; 0.004; 0.000130; 5.69913730214385E-006
 0.070; 0.004; 0.000134; 5.95409679824924E-006
 0.071; 0.004; 0.000138; 6.21654061669764E-006
 0.072; 0.004; 0.000142; 6.48657650882628E-006
 0.073; 0.004; 0.000146; 6.76431220051301E-006
 0.074; 0.004; 0.000150; 7.04985539196747E-006
 0.075; 0.004; 0.000154; 7.34331375752224E-006
 0.076; 0.004; 0.000158; 7.64479494542417E-006
 0.077; 0.004; 0.000162; 7.95440657762573E-006
 0.078; 0.004; 0.000167; 8.27225624957638E-006
 0.079; 0.004; 0.000171; 8.59845153001413E-006
 0.080; 0.004; 0.000175; 8.93309996075707E-006
 0.081; 0.005; 0.000180; 9.27630905649504E-006
 0.082; 0.005; 0.000184; 9.62818630458131E-006
 0.083; 0.005; 0.000189; 9.98883916482441E-006
 0.084; 0.005; 0.000193; 1.03583750692799E-005
 0.085; 0.005; 0.000198; 1.07369014220426E-005
 0.086; 0.005; 0.000203; 1.11245255990381E-005
 0.087; 0.005; 0.000208; 1.15213549478153E-005
 0.088; 0.005; 0.000212; 1.19274967873384E-005
 0.089; 0.005; 0.000217; 1.23430584077791E-005
 0.090; 0.005; 0.000222; 1.27681470703091E-005
 0.091; 0.005; 0.000227; 1.32028700068923E-005
 0.092; 0.005; 0.000232; 1.36473344200772E-005
 0.093; 0.005; 0.000237; 1.41016474827899E-005
 0.094; 0.005; 0.000243; 1.45659163381262E-005
 0.095; 0.005; 0.000248; 1.50402480991445E-005
 0.096; 0.005; 0.000253; 1.55247498486589E-005
 0.097; 0.005; 0.000258; 1.60195286390316E-005
 0.098; 0.005; 0.000264; 1.65246914919661E-005
 0.099; 0.006; 0.000269; 1.70403453983000E-005
 0.100; 0.006; 0.000275; 1.75665973177987E-005
 0.101; 0.006; 0.000280; 1.81035541789477E-005
 0.102; 0.006; 0.000286; 1.86513228787466E-005
 0.103; 0.006; 0.000291; 1.92100102825023E-005
 0.104; 0.006; 0.000297; 1.97797232236221E-005
 0.105; 0.006; 0.000303; 2.03605685034076E-005
 0.106; 0.006; 0.000309; 2.09526528908482E-005
 0.107; 0.006; 0.000314; 2.15560831224146E-005
 0.108; 0.006; 0.000320; 2.21709659018529E-005
 0.109; 0.006; 0.000326; 2.27974078999782E-005
 0.110; 0.006; 0.000332; 2.34355157544686E-005
 0.111; 0.006; 0.000339; 2.40853960696592E-005
 0.112; 0.006; 0.000345; 2.47471554163364E-005
 0.113; 0.006; 0.000351; 2.54209003315318E-005
 0.114; 0.006; 0.000357; 2.61067373183168E-005
 0.115; 0.006; 0.000363; 2.68047728455966E-005
 0.116; 0.006; 0.000370; 2.75151133479051E-005
 0.117; 0.007; 0.000376; 2.82378652251991E-005
 0.118; 0.007; 0.000383; 2.89731348426529E-005
 0.119; 0.007; 0.000389; 2.97210285304534E-005
 0.120; 0.007; 0.000396; 3.04816525835946E-005
 0.121; 0.007; 0.000402; 3.12551132616725E-005
 0.122; 0.007; 0.000409; 3.20415167886802E-005
 0.123; 0.007; 0.000416; 3.28409693528030E-005
 0.124; 0.007; 0.000423; 3.36535771062134E-005
 0.125; 0.007; 0.000430; 3.44794461648666E-005
 0.126; 0.007; 0.000436; 3.53186826082957E-005
 0.127; 0.007; 0.000443; 3.61713924794071E-005
 0.128; 0.007; 0.000450; 3.70376817842760E-005
 0.129; 0.007; 0.000457; 3.79176564919425E-005
 0.130; 0.007; 0.000465; 3.88114225342065E-005
 0.131; 0.007; 0.000472; 3.97190858054242E-005
 0.132; 0.007; 0.000479; 4.06407521623038E-005
 0.133; 0.007; 0.000486; 4.15765274237014E-005
 0.134; 0.007; 0.000494; 4.25265173704171E-005
 0.135; 0.008; 0.000501; 4.34908277449913E-005
 0.136; 0.008; 0.000509; 4.44695642515010E-005
 0.137; 0.008; 0.000516; 4.54628325553560E-005
 0.138; 0.008; 0.000524; 4.64707382830956E-005
 0.139; 0.008; 0.000531; 4.74933870221848E-005
 0.140; 0.008; 0.000539; 4.85308843208117E-005
 0.141; 0.008; 0.000547; 4.95833356876834E-005
 0.142; 0.008; 0.000554; 5.06508465918234E-005
 0.143; 0.008; 0.000562; 5.17335224623683E-005
 0.144; 0.008; 0.000570; 5.28314686883651E-005
 0.145; 0.008; 0.000578; 5.39447906185683E-005
 0.146; 0.008; 0.000586; 5.50735935612369E-005
 0.147; 0.008; 0.000594; 5.62179827839320E-005
 0.148; 0.008; 0.000602; 5.73780635133143E-005
 0.149; 0.008; 0.000610; 5.85539409349415E-005
 0.150; 0.008; 0.000619; 5.97457201930658E-005
 0.151; 0.008; 0.000627; 6.09535063904322E-005
 0.152; 0.008; 0.000635; 6.21774045880759E-005
 0.153; 0.009; 0.000644; 6.34175198051203E-005
 0.154; 0.009; 0.000652; 6.46739570185752E-005
 0.155; 0.009; 0.000661; 6.59468211631348E-005
 0.156; 0.009; 0.000669; 6.72362171309764E-005
 0.157; 0.009; 0.000678; 6.85422497715580E-005
 0.158; 0.009; 0.000686; 6.98650238914176E-005
 0.159; 0.009; 0.000695; 7.12046442539711E-005
 0.160; 0.009; 0.000704; 7.25612155793115E-005
 0.161; 0.009; 0.000713; 7.39348425440073E-005
 0.162; 0.009; 0.000722; 7.53256297809017E-005
 0.163; 0.009; 0.000730; 7.67336818789114E-005
 0.164; 0.009; 0.000739; 7.81591033828256E-005
 0.165; 0.009; 0.000748; 7.96019987931055E-005
 0.166; 0.009; 0.000758; 8.10624725656837E-005
 0.167; 0.009; 0.000767; 8.25406291117629E-005
 0.168; 0.009; 0.000776; 8.40365727976163E-005
 0.169; 0.009; 0.000785; 8.55504079443868E-005
 0.170; 0.009; 0.000794; 8.70822388278869E-005
 0.171; 0.010; 0.000804; 8.86321696783981E-005
 0.172; 0.010; 0.000813; 9.02003046804718E-005
 0.173; 0.010; 0.000823; 9.17867479727283E-005
 0.174; 0.010; 0.000832; 9.33916036476579E-005
 0.175; 0.010; 0.000842; 9.50149757514204E-005
 0.176; 0.010; 0.000851; 9.66569682836462E-005
 0.177; 0.010; 0.000861; 9.83176851972363E-005
 0.178; 0.010; 0.000871; 9.99972303981633E-005
 0.179; 0.010; 0.000881; 1.01695707745272E-004
 0.180; 0.010; 0.000890; 1.03413221050080E-004
 0.181; 0.010; 0.000900; 1.05149874076578E-004
 0.182; 0.010; 0.000910; 1.06905770541035E-004
 0.183; 0.010; 0.000920; 1.08681014111792E-004
 0.184; 0.010; 0.000930; 1.10475708409070E-004
 0.185; 0.010; 0.000940; 1.12289957004769E-004
 0.186; 0.010; 0.000951; 1.14123863422268E-004
 0.187; 0.010; 0.000961; 1.15977531136230E-004
 0.188; 0.010; 0.000971; 1.17851063572400E-004
 0.189; 0.011; 0.000981; 1.19744564107411E-004
 0.190; 0.011; 0.000992; 1.21658136068581E-004
 0.191; 0.011; 0.001002; 1.23591882733721E-004
