t;vs;xq;vq
 0.000; 0.000; 0.000000; 0.00000000000000E+000
 0.001; 0.000; 0.000000; 0.00000000000000E+000
 0.002; 0.000; 0.000000; 0.00000000000000E+000
 0.003; 0.000; 0.000000; 3.06117469891390E-010
 0.004; 0.001; 0.000001; 1.24597579792718E-009
 0.005; 0.001; 0.000002; 3.14716500941908E-009
 0.006; 0.001; 0.000002; 6.33724112727671E-009
 0.007; 0.001; 0.000003; 1.11437255326762E-008
 0.008; 0.001; 0.000005; 1.78941043258594E-008
 0.009; 0.001; 0.000006; 2.69158276870653E-008
 0.010; 0.002; 0.000007; 3.85363092375937E-008
 0.011; 0.002; 0.000009; 5.30829254010045E-008
 0.012; 0.002; 0.000011; 7.08830147644516E-008
 0.013; 0.002; 0.000013; 9.22638774401542E-008
 0.014; 0.002; 0.000015; 1.17552774427006E-007
 0.015; 0.002; 0.000017; 1.47076926972322E-007
 0.016; 0.003; 0.000020; 1.81163515933732E-007
 0.017; 0.003; 0.000023; 2.20139681141207E-007
 0.018; 0.003; 0.000025; 2.64332520759234E-007
 0.019; 0.003; 0.000028; 3.14069090649136E-007
 0.020; 0.003; 0.000032; 3.69676403731535E-007
 0.021; 0.003; 0.000035; 4.31481429348961E-007
 0.022; 0.004; 0.000038; 4.99811092628612E-007
 0.023; 0.004; 0.000042; 5.74992273845263E-007
 0.024; 0.004; 0.000046; 6.57351807784320E-007
 0.025; 0.004; 0.000050; 7.47216483105033E-007
 0.026; 0.004; 0.000054; 8.44913041703858E-007
 0.027; 0.004; 0.000058; 9.50768178077975E-007
 0.028; 0.005; 0.000063; 1.06510853868896E-006
 0.029; 0.005; 0.000067; 1.18826072132661E-006
 0.030; 0.005; 0.000072; 1.32055127447293E-006
 0.031; 0.005; 0.000077; 1.46230669666629E-006
 0.032; 0.005; 0.000082; 1.61385343586573E-006
 0.033; 0.006; 0.000088; 1.77551788881540E-006
 0.034; 0.006; 0.000093; 1.94762640040922E-006
 0.035; 0.006; 0.000099; 2.13050526305568E-006
 0.036; 0.006; 0.000105; 2.32448071604277E-006
 0.037; 0.006; 0.000111; 2.52987894490312E-006
 0.038; 0.006; 0.000117; 2.74702608077931E-006
 0.039; 0.007; 0.000123; 2.97624819978932E-006
 0.040; 0.007; 0.000130; 3.21787132239215E-006
 0.041; 0.007; 0.000136; 3.47222141275364E-006
 0.042; 0.007; 0.000143; 3.73962437811245E-006
 0.043; 0.007; 0.000150; 4.02040606814621E-006
 0.044; 0.007; 0.000157; 4.31489227433782E-006
 0.045; 0.008; 0.000165; 4.62340872934200E-006
 0.046; 0.008; 0.000172; 4.94628110635193E-006
 0.047; 0.008; 0.000180; 5.28383501846612E-006
 0.048; 0.008; 0.000188; 5.63639601805546E-006
 0.049; 0.008; 0.000196; 6.00428959613043E-006
 0.050; 0.008; 0.000204; 6.38784118170849E-006
 0.051; 0.009; 0.000212; 6.78737614118170E-006
 0.052; 0.009; 0.000221; 7.20321977768446E-006
 0.053; 0.009; 0.000229; 7.63569733046147E-006
 0.054; 0.009; 0.000238; 8.08513397423588E-006
 0.055; 0.009; 0.000247; 8.55185481857765E-006
 0.056; 0.009; 0.000256; 9.03618490727202E-006
 0.057; 0.010; 0.000266; 9.53844921768826E-006
 0.058; 0.010; 0.000275; 1.00589726601486E-005
 0.059; 0.010; 0.000285; 1.05980800772971E-005
 0.060; 0.010; 0.000295; 1.11560962434695E-005
 0.061; 0.010; 0.000305; 1.17333458640621E-005
 0.062; 0.010; 0.000315; 1.23301535749017E-005
 0.063; 0.011; 0.000325; 1.29468439416154E-005
 0.064; 0.011; 0.000336; 1.35837414590011E-005
 0.065; 0.011; 0.000346; 1.42411705503972E-005
 0.066; 0.011; 0.000357; 1.49194555670532E-005
 0.067; 0.011; 0.000368; 1.56189207875008E-005
 0.068; 0.011; 0.000379; 1.63398904169245E-005
 0.069; 0.012; 0.000391; 1.70826885865325E-005
 0.070; 0.012; 0.000402; 1.78476393529285E-005
 0.071; 0.012; 0.000414; 1.86350666974827E-005
 0.072; 0.012; 0.000426; 1.94452945257039E-005
 0.073; 0.012; 0.000438; 2.02786466666114E-005
 0.074; 0.012; 0.000450; 2.11354468721068E-005
 0.075; 0.013; 0.000462; 2.20160188163467E-005
 0.076; 0.013; 0.000475; 2.29206860951154E-005
 0.077; 0.013; 0.000487; 2.38497722251972E-005
 0.078; 0.013; 0.000500; 2.48036006437497E-005
 0.079; 0.013; 0.000513; 2.57824947076772E-005
 0.080; 0.013; 0.000526; 2.67867776930037E-005
 0.081; 0.014; 0.000540; 2.78167727942469E-005
 0.082; 0.014; 0.000553; 2.88728031237921E-005
 0.083; 0.014; 0.000567; 2.99551917112660E-005
 0.084; 0.014; 0.000581; 3.10642615029113E-005
 0.085; 0.014; 0.000595; 3.22003353609612E-005
 0.086; 0.014; 0.000609; 3.33637360630141E-005
 0.087; 0.015; 0.000623; 3.45547863014087E-005
 0.088; 0.015; 0.000638; 3.57738086825992E-005
 0.089; 0.015; 0.000652; 3.70211257265308E-005
 0.090; 0.015; 0.000667; 3.82970598660152E-005
 0.091; 0.015; 0.000682; 3.96019334461069E-005
 0.092; 0.015; 0.000697; 4.09360687234790E-005
 0.093; 0.016; 0.000712; 4.22997878657999E-005
 0.094; 0.016; 0.000728; 4.36934129511096E-005
 0.095; 0.016; 0.000744; 4.51172659671968E-005
 0.096; 0.016; 0.000759; 4.65716688109761E-005
 0.097; 0.016; 0.000775; 4.80569432878651E-005
 0.098; 0.016; 0.000792; 4.95734111111621E-005
 0.099; 0.017; 0.000808; 5.11213939014240E-005
 0.100; 0.017; 0.000824; 5.27012131858441E-005
 0.101; 0.017; 0.000841; 5.43131903976308E-005
 0.102; 0.017; 0.000858; 5.59576468753859E-005
 0.103; 0.017; 0.000875; 5.76349038624836E-005
 0.104; 0.017; 0.000892; 5.93452825064493E-005
 0.105; 0.018; 0.000909; 6.10891038583392E-005
 0.106; 0.018; 0.000927; 6.28666888721195E-005
 0.107; 0.018; 0.000944; 6.46783584040465E-005
 0.108; 0.018; 0.000962; 6.65244332120466E-005
 0.109; 0.018; 0.000980; 6.84052339550966E-005
 0.110; 0.018; 0.000998; 7.03210811926043E-005
 0.111; 0.019; 0.001016; 7.22722953837891E-005
 0.112; 0.019; 0.001035; 7.42591968870633E-005
 0.113; 0.019; 0.001053; 7.62821059594136E-005
 0.114; 0.019; 0.001072; 7.83413427557822E-005
 0.115; 0.019; 0.001091; 8.04372273284492E-005
 0.116; 0.019; 0.001110; 8.25700796264144E-005
 0.117; 0.020; 0.001130; 8.47402194947796E-005
 0.118; 0.020; 0.001149; 8.69479666741316E-005
 0.119; 0.020; 0.001169; 8.91936407999250E-005
 0.120; 0.020; 0.001188; 9.14775614018651E-005
 0.121; 0.020; 0.001208; 9.38000479032916E-005
 0.122; 0.020; 0.001228; 9.61614196205623E-005
 0.123; 0.021; 0.001249; 9.85619957624373E-005
 0.124; 0.021; 0.001269; 1.01002095429463E-004
 0.125; 0.021; 0.001290; 1.03482037613356E-004
 0.126; 0.021; 0.001310; 1.06002141196389E-004
 0.127; 0.021; 0.001331; 1.08562724950776E-004
 0.128; 0.021; 0.001353; 1.11164107538056E-004
 0.129; 0.022; 0.001374; 1.13806607508481E-004
 0.130; 0.022; 0.001395; 1.16490543300400E-004
 0.131; 0.022; 0.001417; 1.19216233239646E-004
 0.132; 0.022; 0.001439; 1.21983995538922E-004
 0.133; 0.022; 0.001460; 1.24794148297188E-004
 0.134; 0.022; 0.001482; 1.27647009499049E-004
 0.135; 0.023; 0.001505; 1.30542897014141E-004
 0.136; 0.023; 0.001527; 1.33482128596518E-004
 0.137; 0.023; 0.001550; 1.36465021884043E-004
 0.138; 0.023; 0.001572; 1.39491894397773E-004
 0.139; 0.023; 0.001595; 1.42563063541349E-004
 0.140; 0.023; 0.001618; 1.45678846600383E-004
 0.141; 0.024; 0.001642; 1.48839560741851E-004
 0.142; 0.024; 0.001665; 1.52045523013477E-004
 0.143; 0.024; 0.001689; 1.55297050343128E-004
 0.144; 0.024; 0.001712; 1.58594459538200E-004
 0.145; 0.024; 0.001736; 1.61938067285009E-004
 0.146; 0.024; 0.001760; 1.65328190148184E-004
 0.147; 0.025; 0.001784; 1.68765144570054E-004
 0.148; 0.025; 0.001809; 1.72249246870043E-004
 0.149; 0.025; 0.001833; 1.75780813244059E-004
 0.150; 0.025; 0.001858; 1.79360159763884E-004
 0.151; 0.025; 0.001883; 1.82987602376572E-004
 0.152; 0.025; 0.001908; 1.86663456903835E-004
 0.153; 0.026; 0.001933; 1.90388039041439E-004
 0.154; 0.026; 0.001958; 1.94161664358597E-004
 0.155; 0.026; 0.001984; 1.97984648297360E-004
 0.156; 0.026; 0.002010; 2.01857306172014E-004
 0.157; 0.026; 0.002035; 2.05779953168471E-004
 0.158; 0.026; 0.002061; 2.09752904343663E-004
 0.159; 0.027; 0.002088; 2.13776474624939E-004
 0.160; 0.027; 0.002114; 2.17850978809459E-004
 0.161; 0.027; 0.002140; 2.21976731563587E-004
 0.162; 0.027; 0.002167; 2.26154047422289E-004
 0.163; 0.027; 0.002194; 2.30383240788528E-004
 0.164; 0.027; 0.002221; 2.34664625932659E-004
 0.165; 0.028; 0.002248; 2.38998516991827E-004
 0.166; 0.028; 0.002275; 2.43385227969363E-004
 0.167; 0.028; 0.002303; 2.47825072734180E-004
 0.168; 0.028; 0.002330; 2.52318365020174E-004
 0.169; 0.028; 0.002358; 2.56865418425617E-004
 0.170; 0.028; 0.002386; 2.61466546412556E-004
 0.171; 0.029; 0.002414; 2.66122062306216E-004
 0.172; 0.029; 0.002443; 2.70832279294392E-004
 0.173; 0.029; 0.002471; 2.75597510426854E-004
 0.174; 0.029; 0.002500; 2.80418068614739E-004
 0.175; 0.029; 0.002528; 2.85294266629961E-004
 0.176; 0.029; 0.002557; 2.90226417104600E-004
 0.177; 0.030; 0.002586; 2.95214832530310E-004
 0.178; 0.030; 0.002616; 3.00259825257718E-004
 0.179; 0.030; 0.002645; 3.05361707495821E-004
 0.180; 0.030; 0.002675; 3.10520791311393E-004
 0.181; 0.030; 0.002704; 3.15737388628384E-004
 0.182; 0.030; 0.002734; 3.21011811227320E-004
 0.183; 0.031; 0.002764; 3.26344370744709E-004
 0.184; 0.031; 0.002795; 3.31735378672443E-004
 0.185; 0.031; 0.002825; 3.37185146357199E-004
 0.186; 0.031; 0.002855; 3.42693984999843E-004
 0.187; 0.031; 0.002886; 3.48262205654836E-004
 0.188; 0.031; 0.002917; 3.53890119229634E-004
 0.189; 0.032; 0.002948; 3.59578036484098E-004
 0.190; 0.032; 0.002979; 3.65326268029891E-004
 0.191; 0.032; 0.003011; 3.71135124329893E-004
