t;vs;xq;vq;i
 0.000; 1.000; 0.000000; 0.000000;    0
 0.001; 0.000; 0.001000; 0.000000;    1
 0.002; 0.000; 0.001000; 0.000002;    2
 0.003; 0.000; 0.001000; 0.000004;    3
 0.004; 0.000; 0.001000; 0.000006;    4
 0.005; 0.000; 0.001000; 0.000008;    5
 0.006; 0.000; 0.001000; 0.000010;    6
 0.007; 0.000; 0.001000; 0.000012;    7
 0.008; 0.000; 0.001000; 0.000014;    8
 0.009; 0.000; 0.001000; 0.000016;    9
 0.010; 0.000; 0.001000; 0.000018;   10
 0.011; 0.000; 0.001000; 0.000020;   11
 0.012; 0.000; 0.001000; 0.000022;   12
 0.013; 0.000; 0.001000; 0.000024;   13
 0.014; 0.000; 0.001000; 0.000026;   14
 0.015; 0.000; 0.001000; 0.000027;   15
 0.016; 0.000; 0.001000; 0.000029;   16
 0.017; 0.000; 0.001000; 0.000031;   17
 0.018; 0.000; 0.001000; 0.000033;   18
 0.019; 0.000; 0.001000; 0.000035;   19
 0.020; 0.000; 0.001000; 0.000037;   20
 0.021; 0.000; 0.001000; 0.000039;   21
 0.022; 0.000; 0.001000; 0.000041;   22
 0.023; 0.000; 0.001000; 0.000043;   23
 0.024; 0.000; 0.001000; 0.000045;   24
 0.025; 0.000; 0.000999; 0.000047;   25
 0.026; 0.000; 0.000999; 0.000049;   26
 0.027; 0.000; 0.000999; 0.000051;   27
 0.028; 0.000; 0.000999; 0.000053;   28
 0.029; 0.000; 0.000999; 0.000055;   29
 0.030; 0.000; 0.000999; 0.000057;   30
 0.031; 0.000; 0.000999; 0.000059;   31
 0.032; 0.000; 0.000999; 0.000061;   32
 0.033; 0.000; 0.000999; 0.000063;   33
 0.034; 0.000; 0.000999; 0.000065;   34
 0.035; 0.000; 0.000999; 0.000067;   35
 0.036; 0.000; 0.000999; 0.000069;   36
 0.037; 0.000; 0.000999; 0.000071;   37
 0.038; 0.000; 0.000999; 0.000073;   38
 0.039; 0.000; 0.000999; 0.000075;   39
 0.040; 0.000; 0.000999; 0.000076;   40
 0.041; 0.000; 0.000998; 0.000078;   41
 0.042; 0.000; 0.000998; 0.000080;   42
 0.043; 0.000; 0.000998; 0.000082;   43
 0.044; 0.000; 0.000998; 0.000084;   44
 0.045; 0.000; 0.000998; 0.000086;   45
 0.046; 0.000; 0.000998; 0.000088;   46
 0.047; 0.000; 0.000998; 0.000090;   47
 0.048; 0.000; 0.000998; 0.000092;   48
 0.049; 0.000; 0.000998; 0.000094;   49
 0.050; 0.000; 0.000998; 0.000096;   50
 0.051; 0.000; 0.000998; 0.000098;   51
 0.052; 0.000; 0.000997; 0.000100;   52
 0.053; 0.000; 0.000997; 0.000102;   53
 0.054; 0.000; 0.000997; 0.000104;   54
 0.055; 0.000; 0.000997; 0.000106;   55
