t;vs
 0.000; 0.000;    0
 0.001; 0.000;    1
 0.002; 0.000;    2
 0.003; 0.000;    3
 0.004; 0.000;    4
 0.005; 0.000;    5
 0.006; 0.000;    6
 0.007; 0.001;    7
 0.008; 0.001;    8
 0.009; 0.001;    9
 0.010; 0.001;   10
 0.011; 0.001;   11
 0.012; 0.001;   12
 0.013; 0.001;   13
 0.014; 0.001;   14
 0.015; 0.001;   15
 0.016; 0.001;   16
 0.017; 0.001;   17
 0.018; 0.001;   18
 0.019; 0.001;   19
 0.020; 0.001;   20
 0.021; 0.001;   21
 0.022; 0.001;   22
 0.023; 0.001;   23
 0.024; 0.001;   24
 0.025; 0.002;   25
 0.026; 0.002;   26
 0.027; 0.002;   27
 0.028; 0.002;   28
 0.029; 0.002;   29
 0.030; 0.002;   30
 0.031; 0.002;   31
 0.032; 0.002;   32
 0.033; 0.002;   33
 0.034; 0.002;   34
 0.035; 0.002;   35
 0.036; 0.002;   36
 0.037; 0.002;   37
 0.038; 0.002;   38
 0.039; 0.002;   39
 0.040; 0.002;   40
 0.041; 0.002;   41
 0.042; 0.002;   42
 0.043; 0.003;   43
 0.044; 0.003;   44
 0.045; 0.003;   45
 0.046; 0.003;   46
 0.047; 0.003;   47
 0.048; 0.003;   48
 0.049; 0.003;   49
 0.050; 0.003;   50
 0.051; 0.003;   51
 0.052; 0.003;   52
 0.053; 0.003;   53
 0.054; 0.003;   54
 0.055; 0.003;   55
 0.056; 0.003;   56
 0.057; 0.003;   57
 0.058; 0.003;   58
 0.059; 0.003;   59
 0.060; 0.003;   60
 0.061; 0.004;   61
 0.062; 0.004;   62
 0.063; 0.004;   63
 0.064; 0.004;   64
 0.065; 0.004;   65
 0.066; 0.004;   66
 0.067; 0.004;   67
 0.068; 0.004;   68
 0.069; 0.004;   69
 0.070; 0.004;   70
 0.071; 0.004;   71
 0.072; 0.004;   72
 0.073; 0.004;   73
 0.074; 0.004;   74
 0.075; 0.004;   75
 0.076; 0.004;   76
 0.077; 0.004;   77
 0.078; 0.004;   78
 0.079; 0.005;   79
 0.080; 0.005;   80
 0.081; 0.005;   81
 0.082; 0.005;   82
 0.083; 0.005;   83
 0.084; 0.005;   84
 0.085; 0.005;   85
 0.086; 0.005;   86
 0.087; 0.005;   87
 0.088; 0.005;   88
 0.089; 0.005;   89
 0.090; 0.005;   90
 0.091; 0.005;   91
 0.092; 0.005;   92
 0.093; 0.005;   93
 0.094; 0.005;   94
 0.095; 0.005;   95
 0.096; 0.005;   96
 0.097; 0.006;   97
 0.098; 0.006;   98
 0.099; 0.006;   99
 0.100; 0.006;  100
 0.101; 0.006;  101
 0.102; 0.006;  102
 0.103; 0.006;  103
 0.104; 0.006;  104
 0.105; 0.006;  105
 0.106; 0.006;  106
 0.107; 0.006;  107
 0.108; 0.006;  108
 0.109; 0.006;  109
 0.110; 0.006;  110
 0.111; 0.006;  111
 0.112; 0.006;  112
 0.113; 0.006;  113
 0.114; 0.006;  114
 0.115; 0.007;  115
 0.116; 0.007;  116
 0.117; 0.007;  117
 0.118; 0.007;  118
 0.119; 0.007;  119
 0.120; 0.007;  120
 0.121; 0.007;  121
 0.122; 0.007;  122
 0.123; 0.007;  123
 0.124; 0.007;  124
 0.125; 0.007;  125
 0.126; 0.007;  126
 0.127; 0.007;  127
 0.128; 0.007;  128
 0.129; 0.007;  129
 0.130; 0.007;  130
 0.131; 0.007;  131
 0.132; 0.007;  132
 0.133; 0.008;  133
 0.134; 0.008;  134
 0.135; 0.008;  135
 0.136; 0.008;  136
 0.137; 0.008;  137
 0.138; 0.008;  138
 0.139; 0.008;  139
 0.140; 0.008;  140
 0.141; 0.008;  141
 0.142; 0.008;  142
 0.143; 0.008;  143
 0.144; 0.008;  144
 0.145; 0.008;  145
 0.146; 0.008;  146
 0.147; 0.008;  147
 0.148; 0.008;  148
 0.149; 0.008;  149
 0.150; 0.008;  150
 0.151; 0.009;  151
 0.152; 0.009;  152
 0.153; 0.009;  153
 0.154; 0.009;  154
 0.155; 0.009;  155
 0.156; 0.009;  156
 0.157; 0.009;  157
 0.158; 0.009;  158
 0.159; 0.009;  159
 0.160; 0.009;  160
 0.161; 0.009;  161
 0.162; 0.009;  162
 0.163; 0.009;  163
 0.164; 0.009;  164
 0.165; 0.009;  165
 0.166; 0.009;  166
 0.167; 0.009;  167
 0.168; 0.009;  168
 0.169; 0.010;  169
 0.170; 0.010;  170
 0.171; 0.010;  171
 0.172; 0.010;  172
 0.173; 0.010;  173
 0.174; 0.010;  174
 0.175; 0.010;  175
 0.176; 0.010;  176
 0.177; 0.010;  177
 0.178; 0.010;  178
 0.179; 0.010;  179
 0.180; 0.010;  180
 0.181; 0.010;  181
 0.182; 0.010;  182
 0.183; 0.010;  183
 0.184; 0.010;  184
 0.185; 0.010;  185
 0.186; 0.010;  186
 0.187; 0.011;  187
 0.188; 0.011;  188
 0.189; 0.011;  189
 0.190; 0.011;  190
 0.191; 0.011;  191
 0.192; 0.011;  192
 0.193; 0.011;  193
 0.194; 0.011;  194
 0.195; 0.011;  195
 0.196; 0.011;  196
 0.197; 0.011;  197
 0.198; 0.011;  198
 0.199; 0.011;  199
 0.200; 0.011;  200
 0.201; 0.011;  201
 0.202; 0.011;  202
 0.203; 0.011;  203
 0.204; 0.011;  204
 0.205; 0.012;  205
 0.206; 0.012;  206
 0.207; 0.012;  207
 0.208; 0.012;  208
 0.209; 0.012;  209
 0.210; 0.012;  210
 0.211; 0.012;  211
 0.212; 0.012;  212
 0.213; 0.012;  213
 0.214; 0.012;  214
 0.215; 0.012;  215
 0.216; 0.012;  216
 0.217; 0.012;  217
 0.218; 0.012;  218
 0.219; 0.012;  219
 0.220; 0.012;  220
 0.221; 0.012;  221
 0.222; 0.012;  222
 0.223; 0.013;  223
 0.224; 0.013;  224
 0.225; 0.013;  225
 0.226; 0.013;  226
 0.227; 0.013;  227
 0.228; 0.013;  228
 0.229; 0.013;  229
 0.230; 0.013;  230
 0.231; 0.013;  231
 0.232; 0.013;  232
 0.233; 0.013;  233
 0.234; 0.013;  234
 0.235; 0.013;  235
 0.236; 0.013;  236
 0.237; 0.013;  237
 0.238; 0.013;  238
 0.239; 0.013;  239
 0.240; 0.013;  240
 0.241; 0.014;  241
 0.242; 0.014;  242
 0.243; 0.014;  243
 0.244; 0.014;  244
 0.245; 0.014;  245
 0.246; 0.014;  246
 0.247; 0.014;  247
 0.248; 0.014;  248
 0.249; 0.014;  249
 0.250; 0.014;  250
 0.251; 0.014;  251
 0.252; 0.014;  252
 0.253; 0.014;  253
 0.254; 0.014;  254
 0.255; 0.014;  255
 0.256; 0.014;  256
 0.257; 0.014;  257
 0.258; 0.014;  258
 0.259; 0.015;  259
 0.260; 0.015;  260
 0.261; 0.015;  261
 0.262; 0.015;  262
 0.263; 0.015;  263
 0.264; 0.015;  264
 0.265; 0.015;  265
 0.266; 0.015;  266
 0.267; 0.015;  267
 0.268; 0.015;  268
 0.269; 0.015;  269
 0.270; 0.015;  270
 0.271; 0.015;  271
 0.272; 0.015;  272
 0.273; 0.015;  273
 0.274; 0.015;  274
 0.275; 0.015;  275
 0.276; 0.015;  276
 0.277; 0.016;  277
 0.278; 0.016;  278
 0.279; 0.016;  279
 0.280; 0.016;  280
 0.281; 0.016;  281
 0.282; 0.016;  282
 0.283; 0.016;  283
 0.284; 0.016;  284
 0.285; 0.016;  285
 0.286; 0.016;  286
 0.287; 0.016;  287
 0.288; 0.016;  288
 0.289; 0.016;  289
 0.290; 0.016;  290
 0.291; 0.016;  291
 0.292; 0.016;  292
 0.293; 0.016;  293
 0.294; 0.016;  294
 0.295; 0.017;  295
 0.296; 0.017;  296
 0.297; 0.017;  297
 0.298; 0.017;  298
 0.299; 0.017;  299
 0.300; 0.017;  300
 0.301; 0.017;  301
 0.302; 0.017;  302
 0.303; 0.017;  303
 0.304; 0.017;  304
 0.305; 0.017;  305
 0.306; 0.017;  306
 0.307; 0.017;  307
 0.308; 0.017;  308
 0.309; 0.017;  309
 0.310; 0.017;  310
 0.311; 0.017;  311
 0.312; 0.017;  312
 0.313; 0.018;  313
 0.314; 0.018;  314
 0.315; 0.018;  315
 0.316; 0.018;  316
 0.317; 0.018;  317
 0.318; 0.018;  318
 0.319; 0.018;  319
 0.320; 0.018;  320
 0.321; 0.018;  321
 0.322; 0.018;  322
 0.323; 0.018;  323
 0.324; 0.018;  324
 0.325; 0.018;  325
 0.326; 0.018;  326
 0.327; 0.018;  327
 0.328; 0.018;  328
 0.329; 0.018;  329
 0.330; 0.018;  330
 0.331; 0.019;  331
 0.332; 0.019;  332
 0.333; 0.019;  333
 0.334; 0.019;  334
 0.335; 0.019;  335
 0.336; 0.019;  336
 0.337; 0.019;  337
 0.338; 0.019;  338
 0.339; 0.019;  339
 0.340; 0.019;  340
 0.341; 0.019;  341
 0.342; 0.019;  342
 0.343; 0.019;  343
 0.344; 0.019;  344
 0.345; 0.019;  345
 0.346; 0.019;  346
 0.347; 0.019;  347
 0.348; 0.019;  348
 0.349; 0.020;  349
 0.350; 0.020;  350
 0.351; 0.020;  351
 0.352; 0.020;  352
 0.353; 0.020;  353
 0.354; 0.020;  354
 0.355; 0.020;  355
 0.356; 0.020;  356
 0.357; 0.020;  357
 0.358; 0.020;  358
 0.359; 0.020;  359
 0.360; 0.020;  360
 0.361; 0.020;  361
 0.362; 0.020;  362
 0.363; 0.020;  363
 0.364; 0.020;  364
